repository	author	source_url	commit	source_path	classification	purpose	license	sha256
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	README.md	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	1cf50322a555cf9e598ed32170e8efabc78dd1eeb9380724e40450ced43c65d2
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/3_pointers/01_pointer_aliasing/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	a300e3a6c85340ff8331bd59c6b588651e1585f54cdab2864657ed2e2963bdd9
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/3_pointers/02_restrict_pointer/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	15f6c9f7d7add52420b64e5adcf8b74813a2daf8780326c436918fc39a07532b
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/01_worry_pointer_aliasing/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	fd4b64e384f69d80492f9add85f2c59c1e6eaff84f0e7c31817539c2e154251b
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/02_no_pointer_aliasing/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	ab78444f57dedd40af1b51f26ba531fcfb03ac066293b8c828fcfdb53228b58c
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/04_no_pointer_aliasing_ivdep/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	d3823e4a0b7c4b81465846ea7d5fb4e3ab4847be29ce40b4a2d82c3a0bc6a747
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/06_loop_with_external_call/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	18d6a24eed3f4ca1ae0f615bbe731e1307e2e9657ccb3027d0184a79dd4e81e4
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/07_loop_with_inlineable_call/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	957edd6b2f1a194dd67ddc1eb7fee8a48c302c787b3ab6365b6e92434437c995
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/08_loop_with_random_access/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	da42a0dfc1a2985f8afe5103994307a2eff213dd44aa5a8a44a85cac697de744
course	archibate	https://github.com/parallel101/course	86e15b21d50642d8e4463aadef914374bfe47bb2	04/5_loops/09_loop_with_skip_access/main.cpp	progression	Compiler visibility, aliasing, vectorization, and loop transforms	CC-BY-NC-SA-4.0	43a6a54f6e836a23353e3064ac6b608ea06dbd2e3a080ed2758383015269b61e
